Order_ID,Order_Date,Category,Sub_Category,Region,Segment,Sales,Quantity,Profit,Discount
ORD-000000,2020-01-01,Technology,Accessories,Central,Consumer,1234.02,3,154.24,0.0
ORD-000001,2020-01-01,Technology,Phones,Central,Consumer,241.65,7,49.74,0.0
ORD-000002,2020-01-01,Technology,Phones,West,Home Office,1674.6,9,285.07,0.0
ORD-000003,2020-01-01,Furniture,Tables,West,Corporate,95.4,2,28.03,0.15
ORD-000004,2020-01-01,Technology,Accessories,Central,Corporate,843.02,2,223.93,0.0
ORD-000005,2020-01-01,Furniture,Tables,Central,Home Office,178.31,7,41.05,0.2
ORD-000006,2020-01-01,Technology,Accessories,Central,Consumer,955.95,2,322.37,0.2
ORD-000007,2020-01-01,Office Supplies,Binders,West,Home Office,313.01,7,108.24,0.0
ORD-000008,2020-01-01,Technology,Computers,West,Consumer,920.7,1,212.86,0.0
ORD-000009,2020-01-01,Technology,Accessories,West,Consumer,1942.83,6,194.66,0.2
ORD-000010,2020-01-01,Furniture,Tables,East,Corporate,191.62,4,30.71,0.1
ORD-000011,2020-01-02,Furniture,Tables,Central,Corporate,227.07,9,40.76,0.0
ORD-000012,2020-01-02,Technology,Phones,Central,Consumer,1955.97,6,211.76,0.0
ORD-000013,2020-01-02,Technology,Phones,West,Consumer,582.56,7,130.68,0.0
ORD-000014,2020-01-02,Office Supplies,Paper,West,Consumer,349.37,8,117.29,0.0
ORD-000015,2020-01-02,Technology,Accessories,West,Consumer,1654.57,9,291.53,0.0
ORD-000016,2020-01-02,Office Supplies,Binders,South,Corporate,316.0,9,39.93,0.0
ORD-000017,2020-01-02,Furniture,Tables,South,Consumer,342.56,7,74.97,0.0
ORD-000018,2020-01-02,Office Supplies,Paper,East,Corporate,125.66,7,13.84,0.1
ORD-000019,2020-01-02,Furniture,Chairs,Central,Corporate,1336.73,1,261.64,0.2
ORD-000020,2020-01-02,Office Supplies,Binders,East,Home Office,426.61,2,52.84,0.0
ORD-000021,2020-01-02,Office Supplies,Pens,Central,Consumer,358.63,3,105.01,0.0
ORD-000022,2020-01-02,Furniture,Chairs,Central,Home Office,645.19,4,216.6,0.0
ORD-000023,2020-01-03,Office Supplies,Binders,West,Consumer,249.93,6,40.12,0.1
ORD-000024,2020-01-03,Office Supplies,Pens,East,Home Office,403.7,5,104.19,0.1
